# time disp shear stiffness
4.5345345345e+00 -2.9286945273e-03 -2.7744939219e+05 5.0000000000e+07
4.5445445445e+00 -3.7661806459e-03 -3.1932369813e+05 5.0000000000e+07
4.5545545546e+00 -4.5924016897e-03 -3.6063475032e+05 5.0000000000e+07
4.5645645646e+00 -5.4040176953e-03 -4.0121555060e+05 5.0000000000e+07
4.5745745746e+00 -6.1977323947e-03 -4.4090128557e+05 5.0000000000e+07
4.5845845846e+00 -6.9703065933e-03 -4.7952999550e+05 5.0000000000e+07
4.5945945946e+00 -7.7185713765e-03 -4.9429642844e+05 2.5000000000e+06
4.6046046046e+00 -8.4394410910e-03 -4.9609860273e+05 2.5000000000e+06
4.6146146146e+00 -9.1299260480e-03 -4.9782481512e+05 2.5000000000e+06
4.6246246246e+00 -9.7871448955e-03 -4.9946786224e+05 2.5000000000e+06
4.6346346346e+00 -1.0408336609e-02 -5.0102084152e+05 2.5000000000e+06
4.6446446446e+00 -1.0990872051e-02 -5.0247718013e+05 2.5000000000e+06
4.6546546547e+00 -1.1532265049e-02 -5.0383066262e+05 2.5000000000e+06
4.6646646647e+00 -1.2030182954e-02 -5.0507545738e+05 2.5000000000e+06
4.6746746747e+00 -1.2482456615e-02 -5.0620614154e+05 2.5000000000e+06
4.6846846847e+00 -1.2887089755e-02 -5.0721772439e+05 2.5000000000e+06
4.6946946947e+00 -1.3242267684e-02 -5.0810566921e+05 2.5000000000e+06
4.7047047047e+00 -1.3546365326e-02 -5.0886591331e+05 2.5000000000e+06
4.7147147147e+00 -1.3797954512e-02 -5.0949488628e+05 2.5000000000e+06
4.7247247247e+00 -1.3995810526e-02 -5.0998952631e+05 2.5000000000e+06
4.7347347347e+00 -1.4138917854e-02 -5.1034729464e+05 2.5000000000e+06
4.7447447447e+00 -1.4226475122e-02 -5.1056618781e+05 2.5000000000e+06
4.7547547548e+00 -1.4257899196e-02 -5.1064474799e+05 2.5000000000e+06
4.7647647648e+00 -1.4232828424e-02 -5.0939120940e+05 5.0000000000e+07
4.7747747748e+00 -1.4151125008e-02 -5.0530603856e+05 5.0000000000e+07
4.7847847848e+00 -1.4012876479e-02 -4.9839361216e+05 5.0000000000e+07
4.7947947948e+00 -1.3818396293e-02 -4.8866960284e+05 5.0000000000e+07
4.8048048048e+00 -1.3568223503e-02 -4.7616096334e+05 5.0000000000e+07
4.8148148148e+00 -1.3263121544e-02 -4.6090586538e+05 5.0000000000e+07
4.8248248248e+00 -1.2904076103e-02 -4.4295359335e+05 5.0000000000e+07
4.8348348348e+00 -1.2492292099e-02 -4.2236439313e+05 5.0000000000e+07
4.8448448448e+00 -1.2029189762e-02 -3.9920927630e+05 5.0000000000e+07
4.8548548549e+00 -1.1516399846e-02 -3.7356978049e+05 5.0000000000e+07
4.8648648649e+00 -1.0955757969e-02 -3.4553768661e+05 5.0000000000e+07
4.8748748749e+00 -1.0349298115e-02 -3.1521469392e+05 5.0000000000e+07
4.8848848849e+00 -9.6992453164e-03 -2.8271205401e+05 5.0000000000e+07
4.8948948949e+00 -9.0080075392e-03 -2.4815016515e+05 5.0000000000e+07
4.9049049049e+00 -8.2781668026e-03 -2.1165812832e+05 5.0000000000e+07
4.9149149149e+00 -7.5124695688e-03 -1.7337326662e+05 5.0000000000e+07
4.9249249249e+00 -6.7138164340e-03 -1.3344060988e+05 5.0000000000e+07
4.9349349349e+00 -5.8852511619e-03 -9.2012346280e+04 5.0000000000e+07
4.9449449449e+00 -5.0299490998e-03 -4.9247243177e+04 5.0000000000e+07
4.9549549550e+00 -4.1512050219e-03 -5.3100392810e+03 5.0000000000e+07
4.9649649650e+00 -3.2524204462e-03 3.9629189507e+04 5.0000000000e+07
4.9749749750e+00 -2.3370904736e-03 8.5395688134e+04 5.0000000000e+07
4.9849849850e+00 -1.4087902009e-03 1.3181070177e+05 5.0000000000e+07
4.9949949950e+00 -4.7116075882e-04 1.7869217387e+05 5.0000000000e+07
5.0050050050e+00 4.7210496876e-04 2.2585546025e+05 5.0000000000e+07
5.0150150150e+00 1.4172768889e-03 2.7311405626e+05 5.0000000000e+07
