time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.64,-0.03549353087230937,0.00022104393841625226,1.5335869363902378e-05,8.908376489815398e-06,5.019673011625411e-06,0.00011569383050101679,694.0352093818608
0.65,-0.06929133326173072,0.0002250472738103637,1.5657730032980095e-05,9.09731046309086e-06,5.0079068526752596e-06,0.00011790066335487733,707.2691802027949
0.66,0.012854687928431082,0.00023293862132442867,1.6199195395631172e-05,9.24594915453058e-06,5.001843841101764e-06,0.00012332946311588002,739.8230986926615
0.67,0.06440049532161157,0.00024016576975637586,1.6683944930703287e-05,9.358486796033738e-06,5.002008575401408e-06,0.0001284057846686775,770.261895444204
0.68,0.0392875993960109,0.00024273174475714494,1.6868444722463047e-05,9.43630220820688e-06,5.009202342045486e-06,0.00013000152737536945,779.8301828806732
0.6900000000000001,0.09549975903614459,0.00023920923671893262,1.6663128766774132e-05,9.474808061829248e-06,5.025633743348759e-06,0.00012702038265990492,761.9433145878861
0.7000000000000001,0.05752362216564213,0.00022837787793150594,1.5987842683549616e-05,9.462629841269536e-06,5.054974871977501e-06,0.00011855826730303798,711.1706224466843
0.71,-0.05403994137009496,0.00021352981924076925,1.5036405237534013e-05,9.384675064988483e-06,5.100799609618e-06,0.00010725105155706346,643.3273279708372
0.72,-0.04874822726669657,0.00020105746823715056,1.41949905899297e-05,9.230777923700866e-06,5.162962468127163e-06,9.813803670282273e-05,588.6492388453928
0.73,-0.10730416133332492,0.00019493218861759245,1.3708924715915763e-05,9.003045726467272e-06,5.2348488328588545e-06,9.432363922672164e-05,565.7628539887862
0.74,-0.07588707248501085,0.00019713749893068876,1.3710176726723282e-05,8.718330571866952e-06,5.303002558689701e-06,9.7304063444481e-05,583.6389703528571
0.75,0.09245612474017728,0.00020333193555577769,1.3949912619259043e-05,8.40345978965204e-06,5.349951337395037e-06,0.00010359997006907565,621.3989954782122
0.76,0.09977378813628927,0.00020411924299258648,1.386894737229374e-05,8.081968754876375e-06,5.360366241301089e-06,0.00010579862646609014,634.5853348899391
