time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
0.55,7.05202355111427e-05,141.030976966986,7.651892537843634e-05,153.02599819027577,7.05202355111427e-05,141.030976966986
0.56,7.080718188103873e-05,141.6047603849356,7.70761038031139e-05,154.14010351785262,7.080718188103871e-05,141.60476038493556
0.5700000000000001,7.268358025666891e-05,145.35680387408635,7.926439113640634e-05,158.51563346817167,7.26835802566689e-05,145.35680387408632
0.58,7.793709500153135e-05,155.86140855779408,8.492295711710535e-05,169.82966456560058,7.793709500153136e-05,155.8614085577941
0.59,8.702222040032456e-05,174.02643166055947,9.452190439964557e-05,189.02104296659678,8.702222040032459e-05,174.02643166055952
0.6,9.780761537968079e-05,195.58938237559693,0.00010586827420411732,211.70412068405938,9.78076153796808e-05,195.58938237559695
0.61,0.00010672662164646631,213.4196764289734,0.00011528732568786083,230.53271283998555,0.00010672662164646631,213.4196764289734
0.62,0.0001115709177289447,223.10368728098055,0.00012049928031075157,240.9508729549965,0.00011157091772894468,223.10368728098052
0.63,0.00011270306955859307,225.36689841732556,0.00012186960122621086,243.6899686703384,0.00011270306955859305,225.36689841732553
0.64,0.00011258006837222308,225.1208960445856,0.00012192135475860414,243.79341729268958,0.0001125800683722231,225.1208960445856
0.65,0.00011471559356738908,229.38981143283223,0.00012427080292985382,248.4895573371304,0.00011471559356738909,229.38981143283226
0.66,0.00012005038281134665,240.05354904270547,0.00012988762372494674,259.7160006072506,0.00012005038281134665,240.05354904270547
0.67,0.00012504586225940123,250.03857410899084,0.00013512562948723,270.18474722622227,0.00012504586225940126,250.0385741089909
0.68,0.0001266059309927396,253.15681195612586,0.00013679272014062918,273.51655896842146,0.00012660593099273962,253.15681195612592
0.6900000000000001,0.00012364690523652754,247.23876044370178,0.00013376733750666012,267.4657937004834,0.00012364690523652714,247.23876044370095
0.7000000000000001,0.00011527714618479245,230.49924234023158,0.0001251205095395297,250.17213776622256,0.00011527714618479173,230.49924234023013
0.71,0.00010410936450236421,208.1636789753751,0.00011353442566646261,226.99997002008837,0.00010410936450236357,208.1636789753738
0.72,9.513340763781295e-05,190.21176524627256,0.00010414729483284288,208.22570835284887,9.513340763781237e-05,190.2117652462714
0.73,9.14206804356298e-05,182.78631084190627,0.00010012955680890598,200.1902323049751,9.142068043562914e-05,182.78631084190494
0.74,9.444679641069302e-05,188.83649258746672,0.00010301859751205747,205.96598517792467,9.44467964106925e-05,188.8364925874657
0.75,0.00010076039141662565,201.45881417072763,0.00010927912737397576,218.48136713675714,0.00010076039141662556,201.45881417072746
