time_s,ground_accel_m_per_s2,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N
1.31,0.09181353289403026,0.0009288557880912669,6.413491381228464e-05,3.537225940550234e-05,1.8961469538599557e-05,0.0005023686741682753,2994.327973081207
1.32,-0.02695786834806452,0.00088612461203216,6.122275629111887e-05,3.34964748187918e-05,1.7643971222466278e-05,0.000481617083635603,2869.818429885173
1.33,-0.12844647430835035,0.0008453141890211589,5.838493701342439e-05,3.153359962955334e-05,1.6353800658312644e-05,0.0004627337747365135,2756.518576490636
1.34,-0.0227626261648587,0.000811855098781732,5.596218157084052e-05,2.9506762296925485e-05,1.5090058454368195e-05,0.0004498426904220489,2679.1720706038477
1.35,0.02191126634277014,0.0007819067960185799,5.373549819165626e-05,2.744989547538314e-05,1.3846179867095958e-05,0.0004397931312956926,2618.87471584571
1.36,0.038012828071594194,0.0007502215237101947,5.1400541912078385e-05,2.5397567580291405e-05,1.261475511421313e-05,0.0004283352111264962,2550.127194830532
1.37,0.021935586659169455,0.0007153170983652114,4.8879782569894273e-05,2.3378663262419632e-05,1.1390724272937865e-05,0.00041418008598630504,2465.1964439893854
1.3800000000000001,0.04605439894870515,0.0006770331489136627,4.617227059573933e-05,2.141456167604839e-05,1.0172579131580853e-05,0.00039709926786153584,2362.71153524077
1.3900000000000001,0.13467629317479674,0.0006323969790843422,4.30996672705518e-05,1.9515997641984745e-05,8.963764299679749e-06,0.0003747110339203635,2228.3821315937357
1.4000000000000001,0.05046949084223628,0.000578534953158162,3.948178888286217e-05,1.7678793402430993e-05,7.774090397143032e-06,0.0003447701315013917,2048.7367170799052
1.41,-0.11381486621893974,0.0005216022190617986,3.5684192055509983e-05,1.5888573593984258e-05,6.617268612818379e-06,0.00031211809571747313,1852.8245023763939
1.42,-0.248553137773959,0.00047531827192337126,3.2537969712406894e-05,1.4138122257512193e-05,5.503560310761348e-06,0.0002874715237129217,1704.9450703490852
1.43,-0.16609239036902726,0.0004484702449412336,3.0585331814643415e-05,1.2443243429562944e-05,4.433589060621856e-06,0.00027760645344385203,1645.7546487346672
1.44,-0.005376227822669809,0.00043628178297429657,2.9551641115381082e-05,1.0840943498542e-05,3.3997531755693515e-06,0.0002786293669321238,1651.8748891216812
1.45,0.026572114909559585,0.0004278671918203331,2.8791413036989077e-05,9.372916959286109e-06,2.3936694567778962e-06,0.000281858393789342,1671.1923113967378
1.46,0.007900012256682735,0.0004181063231298395,2.8006213536448302e-05,8.072031146561045e-06,1.4122376704235197e-06,0.0002831405866574812,1678.8628961932711
1.47,0.08879667325831908,0.0004051508429845172,2.7089615072430214e-05,6.9575010624624865e-06,4.5985423252908275e-07,0.0002809257496617988,1665.5738742191766
1.48,0.08963833966174084,0.0003854503523501488,2.5821366455388145e-05,6.031264979344283e-06,-4.5040033538368756e-07,0.00027240232039249334,1614.4332986033437
1.49,0.1028018038804405,0.00035666892583041714,2.4044524976388874e-05,5.27508858026651e-06,-1.2964847823039796e-06,0.0002557856622427521,1514.7333497048965
1.5,0.21656708739520222,0.0003153475796552593,2.15227368888906e-05,4.649277474436543e-06,-2.0483850871438045e-06,0.00022850251426099927,1351.0344618143793
1.51,0.18809446743449942,0.00025625160776723875,1.7899858722660148e-05,4.090436282482679e-06,-2.6693543519225776e-06,0.00018669622141564586,1100.1967047422588
1.52,-0.02783027602807665,0.00018342390319573082,1.3378314732049416e-05,3.517262286719889e-06,-3.120748437715782e-06,0.00013383452030393814,783.0264980720127
1.53,-0.11612269318490534,0.00011061433757878611,8.756895564429251e-06,2.8514159695239633e-06,-3.372644356645293e-06,8.09659357404776e-05,465.81499069124936
1.54,-0.12027152595700054,4.7731382193690095e-05,4.615625734838508e-06,2.0390563067306093e-06,-3.413878152216034e-06,3.6064488192018995e-05,196.40630540049779
1.55,-0.16634451841977246,-1.7013691297756298e-06,1.1655632395138352e-06,1.0603226248056356e-06,-3.256094152626537e-06,2.0073807081298086e-06,-7.936321026016328
1.56,-0.1032631709428169,-3.6921296376936354e-05,-1.5300906772167002e-06,-7.014208116418063e-08,-2.9329488685680717e-06,-2.0601842519920124e-05,-143.5886610032142
1.57,0.05776632950259349,-6.403471285877951e-05,-3.8117907495655595e-06,-1.311719901312268e-06,-2.4946713292520813e-06,-3.660925773031184e-05,-239.62726115191504
1.58,0.017411288859686253,-9.17338689093788e-05,-6.171586337496422e-06,-2.614118236185739e-06,-1.998990589898545e-06,-5.2908966320488256e-05,-337.4136386295815
1.59,-0.1591208142480778,-0.00011768193937259389,-8.427335876552312e-06,-3.925392344747137e-06,-1.5051419319655332e-06,-6.779360682083995e-05,-426.7041489288821
1.6,-0.11275230886840494,-0.00013327913450429107,-1.0011912147381657e-05,-5.186776766618562e-06,-1.0729398215303788e-06,-7.470127105638091e-05,-468.14042047072905
1.61,0.07089211086611787,-0.00014109630054845947,-1.1038944787491699e-05,-6.334485359171256e-06,-7.590927794047346e-07,-7.581921801461579e-05,-474.8464349475382
1.62,0.15940616271062225,-0.00015373316520868807,-1.2243351737709381e-05,-7.318093777011462e-06,-6.074802799259127e-07,-8.112503234795974e-05,-506.67256834343164
1.6300000000000001,0.22772071670004612,-0.0001819170178655584,-1.42658613424248e-05,-8.120577194615042e-06,-6.39898903214588e-07,-9.902220308064245e-05,-614.0125081821543
1.6400000000000001,0.19878672967696692,-0.0002305183907947975,-1.7414478287091843e-05,-8.76750229991556e-06,-8.525683229948068e-07,-0.00013319401471878953,-818.8974220408329
1.6500000000000001,0.0945138069635648,-0.00029713488231248886,-2.157531695917878e-05,-9.323145382785206e-06,-1.2192296189383232e-06,-0.00018151119125324054,-1108.4229506336187
1.6600000000000001,-0.014675786278833217,-0.0003730404352808167,-2.626177025849062e-05,-9.874862521827067e-06,-1.6998690349002676e-06,-0.00023682902874603206,-1439.601515718452
1.67,-0.13331623959919386,-0.0004471573473299425,-3.0845679278182606e-05,-1.051146760045871e-05,-2.252112868181205e-06,-0.0002901640122413814,-1758.5638629644784
1.68,-0.05191482666902534,-0.0005128327166508013,-3.496151013445891e-05,-1.1305474994327133e-05,-2.840764253386107e-06,-0.0003360448188749815,-2032.6450272330696
1.69,0.09679064473941915,-0.0005748700173731336,-3.893188335027779e-05,-1.2309962563430186e-05,-3.440964554251883e-06,-0.00037801189968847816,-2283.05864951675
1.7,0.054768559207990855,-0.0006416652780328248,-4.3289834611469005e-05,-1.3566964490166673e-05,-4.036293397794029e-06,-0.0004224501450348778,-2547.8567177912882
1.71,-0.10764578616511142,-0.0007107534042820404,-4.789856596416022e-05,-1.510830363573285e-05,-4.619361734739657e-06,-0.0004672989714773626,-2814.693984378625
1.72,-0.10435944453219276,-0.0007730450917955763,-5.2206995045653446e-05,-1.6944052035957634e-05,-5.196536460598928e-06,-0.0005053937910436203,-3041.025995206186
1.73,-0.05128884502877794,-0.0008259919922003823,-5.6048508127223914e-05,-1.9055536314235755e-05,-5.7899200349886694e-06,-0.0005347737200851682,-3215.376093060325
