time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.23,-3.4884825593057074e-05,-69.7664535033551,-3.488314260213125e-05,-3.716351635333743e-05,-74.32331694102113,-3.716156068720389e-05,-3.4884825593057074e-05,-69.7664535033551,-3.488314260213125e-05
0.24,-3.5523078087551906e-05,-71.04289728756295,-3.552136288358303e-05,-3.781638251053138e-05,-75.6289783054849,-3.781438950233251e-05,-3.55230780875519e-05,-71.04289728756294,-3.5521362883583027e-05
0.25,-3.325002751179979e-05,-66.49679613605872,-3.3248312307830914e-05,-3.5497328982948416e-05,-70.99087125031897,-3.549533597474954e-05,-3.325002751179979e-05,-66.49679613605872,-3.3248312307830914e-05
0.26,-2.652862026081775e-05,-53.05398163409465,-2.652690505684888e-05,-2.8613842720343868e-05,-57.223898725109876,-2.8611849712144994e-05,-2.6528620260817755e-05,-53.053981634094654,-2.6526905056848883e-05
0.27,-1.645991325317531e-05,-32.91656761880976,-1.6458198049206433e-05,-1.8286469289026826e-05,-36.5691518624758,-1.8284476280827955e-05,-1.6459913253175306e-05,-32.91656761880975,-1.645819804920643e-05
0.28,-7.015989867156448e-06,-14.028720846772039,-7.0142746631875755e-06,-8.594905117437772e-06,-17.18602351929769,-8.592912109238902e-06,-7.015989867156444e-06,-14.028720846772028,-7.01427466318757e-06
0.29,-1.0447260111957742e-06,-2.0861931348506917,-1.0430108072269023e-06,-2.464203863416721e-06,-4.924621011255587,-2.4622108552178497e-06,-1.0447260111957734e-06,-2.0861931348506886,-1.0430108072269006e-06
0.3,2.4293338035496504e-06,4.861924934232697,2.4310481862514377e-06,1.1176334206445792e-06,2.2390532156225693,1.1196262492411112e-06,2.4293338035496495e-06,4.861924934232697,2.4310481862514377e-06
0.31,7.159221160392495e-06,14.32168121463318,7.160925841365227e-06,6.025578069437405e-06,12.054928961411601,6.0275637655094e-06,7.159221160392495e-06,14.321681214633182,7.1609258413652274e-06
0.32,1.5603271161720647e-05,31.209624943547446,1.5604893593355464e-05,1.480249419679694e-05,29.60861501950979,1.4804402947278999e-05,1.560327116172065e-05,31.20962494354746,1.560489359335547e-05
