time_s,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
16.61882781982422,-0.00894442480057478,-0.00048751610814145327,-0.00020465761837032106,-5.324810950292481e-05,-0.006260906190921863,-24811.406104799553,-0.006166382227092981,-8114.815438702459,-0.003946409061049032,-0.006449954118579626,-8581.775227394635,-0.004177252534492986,-0.006166382227092981,-8114.815438702459,-0.003946409061049032
16.628828048706055,-0.00914775300770998,-0.0004881004699402385,-0.00019043166604306962,-3.457353967759344e-05,-0.006580572575330734,-25488.151648891286,-0.006485212594270706,-8353.947640009694,-0.004055487568727696,-0.00677129253745079,-8780.256368871896,-0.004264803744803588,-0.006485212594270706,-8353.947640009694,-0.004055487568727696
16.63882827758789,-0.009348941035568714,-0.00048764649330189944,-0.00017655107917057144,-1.8118880689144135e-05,-0.0068926018041869,-26095.48961901662,-0.006796831730753183,-8568.871119308475,-0.004152204182227977,-0.007084141951054335,-8957.747380399669,-0.004341754308049598,-0.006796831730753183,-8568.871119308475,-0.004152204182227977
16.648828506469727,-0.009548391215503216,-0.00048637549668826446,-0.00016330120464166006,-4.03210934665468e-06,-0.007195039497067531,-26637.847021672784,-0.007099211681634188,-8760.99511707684,-0.004237407341533379,-0.0073866951279342175,-9115.856787519104,-0.0044090459340661485,-0.007099211681634188,-8760.99511707684,-0.004237407341533379
16.658828735351562,-0.009745607152581215,-0.00048453337512910366,-0.00015099067240953445,7.616149054633246e-06,-0.007485138718038797,-27118.648259441037,-0.007389519829303026,-8931.412650616723,-0.004311821404045484,-0.00767637649551034,-9255.822958207591,-0.004467465951924504,-0.007389519829303026,-8931.412650616723,-0.004311821404045484
16.6688289642334,-0.009938439354300499,-0.00048233092659049563,-0.00013993535604741838,1.681942699684037e-05,-0.007758830673992634,-27539.738628751165,-0.007663597818464041,-9080.694760145609,-0.004375965778052213,-0.00794929638504982,-9378.349108459948,-0.00451758919471314,-0.007663597818464041,-9080.694760145609,-0.004375965778052213
16.6788272857666,-0.010125486180186272,-0.00048007117584347725,-0.00013044362680779563,2.3623255805836783e-05,-0.008012676611542702,-27904.295144444295,-0.007917898707091808,-9209.907924284164,-0.004430588449249991,-0.008202232420444489,-9484.479295875972,-0.004560134765174486,-0.007917898707091808,-9209.907924284164,-0.004430588449249991
16.688827514648438,-0.01030830666422844,-0.0004781734336305549,-0.0001228031598859363,2.8114300221204758e-05,-0.008246002408365408,-28218.8796610005,-0.008151615038514137,-9321.329621560682,-0.004476930588268036,-0.008434777148067951,-9576.220417879136,-0.004596180370038074,-0.008151615038514137,-9321.329621560682,-0.004476930588268036
16.698827743530273,-0.01049011666327715,-0.0004770510174609995,-0.00011726929288771417,3.0405095054043664e-05,-0.008460021888216337,-28491.26139562655,-0.008365818299353123,-9417.67525247801,-0.004516364959232999,-0.008648429065942764,-9655.910890670531,-0.004626877886355924,-0.008365818299353123,-9417.67525247801,-0.004516364959232999
16.70882797241211,-0.01067451573908329,-0.00047703989333024714,-0.00011405364299813905,3.062343845764796e-05,-0.008656823386748632,-28728.854292272787,-0.008562469854950905,-9501.547277020642,-0.004550158048171343,-0.008845530450344086,-9725.759738231502,-0.0046532666806300485,-0.008562469854950905,-9501.547277020642,-0.004550158048171343
