time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.28,0.051809711336168,-3.10481500527843e-05,-2.12289607749199e-06,-2.32021435505162e-06,-2.08629585097944e-06,-7.54228743210128e-06,-45.2434201896605
0.29,0.0481633992709169,-2.37557250786563e-05,-1.68259100723075e-06,-2.36681285259701e-06,-2.12777639722183e-06,-1.51787615327773e-06,-9.0969525167192
0.3,-0.0282638767761134,-1.93872807101412e-05,-1.41079495071711e-06,-2.37467066842343e-06,-2.15325269243414e-06,1.99210521152766e-06,11.9629322100425
0.31,-0.0674401630012446,-1.3049597023876e-05,-1.00629728401614e-06,-2.33823785109091e-06,-2.16405934160794e-06,6.78134309229799e-06,40.698309076274
0.32,-0.0424901462588687,-1.50374078267667e-06,-2.67028557373775e-07,-2.24819515821027e-06,-2.16257878346424e-06,1.53363482138971e-05,92.0278810616163
0.33,0.0453242936296839,1.27794001663391e-05,6.61707152780358e-07,-2.09270315053547e-06,-2.15147637591919e-06,2.56763007115665e-05,154.066041974792
0.34,0.0327984629867135,2.50993262816222e-05,1.49606308032491e-06,-1.86415868680223e-06,-2.13086893481301e-06,3.40955986302674e-05,204.579597696581
0.35,0.0267620166665614,3.40465994181346e-05,2.14842424037265e-06,-1.56335442156437e-06,-2.09675759562591e-06,3.9488675414678e-05,236.936140154331
0.36,0.0256389684169294,4.02751991478684e-05,2.65300988119727e-06,-1.19866494814842e-06,-2.04166891946154e-06,4.23895654989541e-05,254.340290838197
0.37,0.0375529484903431,4.37051185305866e-05,2.99615931610577e-06,-7.84435321774603e-07,-1.9558070563063e-06,4.27838175536971e-05,256.705637094056
0.38,0.07495095103013,4.28453381326827e-05,3.075223857775e-06,-3.40998413586957e-07,-1.8277287221601e-06,3.95819499333821e-05,237.494431372166
0.39,-0.0036240742224272,3.75035720970528e-05,2.86448067972336e-06,1.05871277652664e-07,-1.64536449223127e-06,3.27336172225316e-05,196.404435107063
0.4,-0.1217086806376,3.36270160609542e-05,2.71435999390085e-06,5.31834560062428e-07,-1.39947404278441e-06,2.69788222207102e-05,161.875665096135
0.41,-0.112862878298722,3.88446099672996e-05,3.08557350440903e-06,9.25683742187245e-07,-1.08861581965699e-06,2.83231008303181e-05,169.941089206565
