time_s,u_iso_1_m,f_iso_1_N,z_iso_1_m,u_iso_2_m,f_iso_2_N,z_iso_2_m,u_iso_3_m,f_iso_3_N,z_iso_3_m
0.96,0.000473233197487951,943.52401967596,0.000471684578909034,0.000502937723854969,1002.34709045316,0.000501080693719825,0.000473233197487952,943.52401967596,0.000471684578909034
0.97,0.000486289321805139,969.403230164878,0.000484618051570718,0.000517457493111054,1031.0934452271,0.000515446155745259,0.000486289321805139,969.403230164878,0.000484618051570718
0.98,0.000503347339517862,1003.19320996029,0.000501504461057107,0.000536025018850456,1067.82640229367,0.000533802052846645,0.000503347339517862,1003.19320996029,0.000501504461057107
0.99,0.000520557476340329,1037.26180592533,0.000518529504363841,0.000554684095568117,1104.7120924934,0.000552233517335046,0.000520557476340329,1037.26180592533,0.000518529504363841
1,0.000529665616263037,1055.28544513933,0.000527536254480541,0.00056493653728051,1124.97056272412,0.000562356267892669,0.000529665616263037,1055.28544513933,0.000527536254480541
1.01,0.000528163386660473,1052.2809859342,0.000526034024877977,0.000564199807145356,1123.49710245381,0.000561619537757515,0.000528163386660473,1052.2809859342,0.000526034024877977
1.02,0.000520012434575556,1035.97908176437,0.00051788307279306,0.000556558471240989,1108.21443064508,0.000553978201853148,0.000520012434575556,1035.97908176437,0.00051788307279306
1.03,0.000513917361347987,1023.78893530923,0.000511787999565491,0.000550993315153592,1097.08411847029,0.000548413045765751,0.000513917361347987,1023.78893530923,0.000511787999565491
1.04,0.000518267825806269,1032.40179916084,0.000516092113989587,0.000556175613989794,1107.32804005011,0.000553531830869014,0.000518267825806269,1032.40179916084,0.000516092113989587
1.05,0.000530760309911279,1057.12163543426,0.000528445054970069,0.0005697635520999,1134.17198430734,0.000566945067945975,0.000530760309911279,1057.12163543426,0.000528445054970069
1.06,0.000540505973555687,1076.39851806822,0.000538077853006659,0.000580558426715915,1155.48803066789,0.000577595888419104,0.000540505973555688,1076.39851806822,0.00053807785300666
1.07,0.000539251625243001,1073.88982144285,0.000536823504693972,0.000580059256097614,1154.48968943129,0.000577096717800803,0.000539251625243001,1073.88982144285,0.000536823504693973
1.08,0.000527264146861464,1049.91486467978,0.000524836026312436,0.000568529314972225,1131.42980718051,0.000565566776675414,0.000527264146861464,1049.91486467978,0.000524836026312436
1.09,0.000511683968182589,1018.75450732202,0.000509255847633561,0.00055330699014855,1100.98515753316,0.000550344451851739,0.000511683968182589,1018.75450732202,0.000509255847633561
1.1,0.000497863135626618,991.112842210082,0.000495435015077589,0.000539881833186992,1074.13484361004,0.000536919294890181,0.000497863135626617,991.112842210081,0.000495435015077589
1.11,0.00048383933273779,963.065236432426,0.000481411212188761,0.00052619934155545,1046.76986034696,0.000523236803258639,0.000483839332737789,963.065236432425,0.000481411212188761
1.12,0.000469045186624575,933.476944205997,0.000466617066075547,0.000511641761741547,1017.65470071915,0.000508679223444736,0.000469045186624575,933.476944205996,0.000466617066075547
1.13,0.000459818348801293,915.023268559433,0.000457390228252265,0.000502717963864166,999.807104964392,0.000499755425567355,0.000459818348801293,915.023268559432,0.000457390228252265
1.14,0.000461107122805731,917.580210860348,0.00045866815714725,0.000504520446976594,1003.37761275389,0.000501539772661174,0.000461107122805731,917.580210860348,0.00045866815714725
1.15,0.000472570710830692,940.314906688273,0.000470030439792212,0.000516705391958255,1027.50322679642,0.000513596151368736,0.000472570710830692,940.314906688272,0.000470030439792212
1.16,0.000487587188548076,970.079515472789,0.000484905682430517,0.0005324600512254,1058.67725570463,0.000529174342411625,0.000487587188548076,970.07951547279,0.000484905682430517
1.17,0.00049729712690869,989.318924740261,0.000494520637920733,0.000542658577732793,1078.84891690483,0.000539254241648187,0.00049729712690869,989.318924740261,0.000494520637920733
1.18,0.000502845431070613,1000.31010961222,0.000500013456055349,0.000548483318913542,1090.36690742605,0.000545009776597209,0.000502845431070613,1000.31010961222,0.000500013456055348
1.19,0.000510222182548005,1014.91932367943,0.000507314266012962,0.00055611309118657,1105.44941555214,0.000552546371807094,0.000510222182548005,1014.91932367943,0.000507314266012961
1.2,0.000519629195271765,1033.54253559626,0.000516620850562673,0.000565760619161905,1124.51283153493,0.000562071984009861,0.000519629195271765,1033.54253559626,0.000516620850562674
1.21,0.000529067772856472,1052.22125621912,0.000525954988912355,0.000575369153649532,1143.49134649748,0.000571554963753959,0.000529067772856472,1052.22125621912,0.000525954988912355
1.22,0.000536703154816086,1067.32685484263,0.000533503441768958,0.00058304821683975,1158.65373473861,0.000579131006870863,0.000536703154816085,1067.32685484263,0.000533503441768957
1.23,0.000540478132359109,1074.7940049792,0.000537234837759624,0.000586672985366986,1165.80973259149,0.000582706544239364,0.000540478132359109,1074.7940049792,0.000537234837759624
1.24,0.000538314507998455,1070.46675625789,0.00053507121339897,0.000584090582401942,1160.6449266614,0.000580124141274319,0.000538314507998455,1070.46675625789,0.000535071213398969
1.25,0.00052945446785608,1052.74667597314,0.000526211173256595,0.000574502716035755,1141.46919392903,0.000570536274908132,0.00052945446785608,1052.74667597314,0.000526211173256595
1.26,0.000517657102017967,1029.15194429691,0.000514413807418482,0.000561766673277005,1115.99710841153,0.000557800232149382,0.000517657102017967,1029.15194429691,0.000514413807418482
1.27,0.000510250396207877,1014.33853267673,0.000507007101608392,0.000553429285072061,1099.32233200164,0.000549462843944438,0.000510250396207877,1014.33853267673,0.000507007101608392
1.28,0.000510065810105493,1013.96936047196,0.000506822515506008,0.000552417261352107,1097.29828456173,0.000548450820224484,0.000510065810105493,1013.96936047196,0.000506822515506008
1.29,0.000510661495992697,1015.1490761673,0.000507412066614753,0.000552104765129404,1096.67329211632,0.000548138324001781,0.000510661495992697,1015.1490761673,0.000507412066614753
1.3,0.000504401693423352,1002.62947102861,0.000501152264045407,0.000544634054464232,1081.73187078598,0.000540667613336609,0.000504401693423352,1002.62947102861,0.000501152264045408
1.31,0.000489478471201086,972.783026584077,0.000486229041823141,0.00052814908088521,1048.76192362794,0.000524182639757587,0.000489478471201085,972.783026584076,0.000486229041823141
1.32,0.000469328026156709,932.482136495323,0.000466078596778764,0.000506195199998716,1004.85416185495,0.000502228758871093,0.000469328026156708,932.482136495322,0.000466078596778764
1.33,0.000451050388093212,895.92686036833,0.000447800958715268,0.000486100549993748,964.664861845012,0.000482134108866125,0.000451050388093212,895.92686036833,0.000447800958715268
1.34,0.000438721035903366,871.268155988637,0.000435471606525421,0.000472086001926883,936.635765711282,0.00046811956079926,0.000438721035903366,871.268155988637,0.000435471606525421
1.35,0.000429212781684341,852.251647550589,0.000425963352306397,0.000460953833402689,914.371428662895,0.000456987392275066,0.000429212781684342,852.251647550589,0.000425963352306397
1.36,0.000418310378616749,830.446841415404,0.000415060949238805,0.0004483848793557,889.233520568916,0.000444418438228077,0.000418310378616749,830.446841415404,0.000415060949238805
1.37,0.000404730651667725,803.287387517356,0.000401481222289781,0.000433078958056632,858.621677970781,0.000429112516929009,0.000404730651667725,803.287387517355,0.000401481222289781
1.38,0.000388241968790071,770.310021762048,0.000384992539412127,0.000414813869550146,822.091500957809,0.000410847428422523,0.000388241968790071,770.310021762047,0.000384992539412126
1.39,0.00036648470468318,726.795493548266,0.000363235275305236,0.000391163695935203,774.791153727923,0.000387197254807581,0.00036648470468318,726.795493548266,0.000363235275305236
1.4,0.00033723848489519,668.303053972286,0.000333989055517246,0.000359833428127301,712.130618112118,0.000355866986999678,0.00033723848489519,668.303053972287,0.000333989055517246
1.41,0.000305299412153467,604.424908488839,0.000302049982775522,0.000325755466009347,643.97469387621,0.000321789024881724,0.000305299412153467,604.424908488839,0.000302049982775522
1.42,0.000281275975277035,556.378034735975,0.00027802654589909,0.000299862623378635,592.189008614786,0.000295896182251012,0.000281275975277035,556.378034735975,0.00027802654589909
1.43,0.0002718703216152,537.566727412305,0.000268620892237256,0.000289078719410628,570.621200678773,0.000285112278283005,0.0002718703216152,537.566727412306,0.000268620892237256
1.44,0.00027321936210445,540.257336049163,0.000269965999915115,0.000289449378306658,571.360222614772,0.00028548172883374,0.00027321936210445,540.257336049163,0.000269965999915115
1.45,0.000276719752936125,547.238224506011,0.000273455920638105,0.000292135676530473,576.715866610958,0.00028815910471469,0.000276719752936125,547.238224506012,0.000273455920638105
1.46,0.000278252795559136,550.295499593917,0.000274984326335791,0.000292916169124271,578.271899706948,0.000288936990944485,0.000278252795559136,550.295499593917,0.000274984326335791
1.47,0.000276279640440393,546.349189356432,0.000273011171217049,0.000290217967545957,572.87549655032,0.000286238789366171,0.000276279640440393,546.349189356432,0.000273011171217049
1.48,0.000268018113249044,529.826134973733,0.000264749644025699,0.000281170733244704,554.781027947815,0.000277191555064918,0.000268018113249044,529.826134973733,0.000264749644025699
1.49,0.000251708139860467,497.206188196579,0.000248439670637123,0.000263940704666359,520.320970791125,0.000259961526486573,0.000251708139860467,497.206188196579,0.000248439670637123
1.5,0.000224815046915377,443.420002306401,0.000221546577692033,0.000235877445691769,464.194452841944,0.000231898267511983,0.000224815046915378,443.420002306401,0.000221546577692033
1.51,0.00018354043667692,360.870781829485,0.000180271967453575,0.000193007786716157,378.455134890719,0.00018902860853637,0.00018354043667692,360.870781829485,0.000180271967453575
1.52,0.000131339354055993,256.468616587632,0.000128070884832649,0.000138824847724538,270.089256907483,0.000134845669544752,0.000131339354055993,256.468616587632,0.000128070884832649
1.53,7.91680625146813e-05,152.126033505009,7.58995932913371e-05,8.45616762500906e-05,161.562913958587,8.05824980703044e-05,7.91680625146814e-05,152.126033505009,7.58995932913371e-05
1.54,3.4932623517206e-05,63.655155510058,3.16641542938618e-05,3.83282107764204e-05,69.0959830112471,3.43490325966343e-05,3.4932623517206e-05,63.655155510058,3.16641542938618e-05
1.55,1.48479270544548e-06,-3.24049802601196,-1.78367226134553e-06,3.05254917842181e-06,-1.45533788278149,-9.26627789801934e-07,1.48479270544547e-06,-3.24049802601199,-1.78367226134555e-06
1.56,-2.05840396489834e-05,-47.3772085277856,-2.38520024015196e-05,-2.06374565052094e-05,-48.834258272491,-2.46160592747211e-05,-2.05840396489834e-05,-47.3772085277857,-2.38520024015196e-05
