# time ux F_h z
9.200000000000e-01	4.243443725450e-04	8.464795870891e+02	4.231816578077e-04
9.300000000000e-01	4.447219408092e-04	8.869302460384e+02	4.433989747145e-04
9.400000000000e-01	4.605454534256e-04	9.183238106888e+02	4.590890870243e-04
9.500000000000e-01	4.737145980732e-04	9.444389924501e+02	4.721408066541e-04
9.600000000000e-01	4.856630218696e-04	9.681231367753e+02	4.839772813623e-04
9.700000000000e-01	4.971010471712e-04	9.907859287181e+02	4.953030652637e-04
9.800000000000e-01	5.098452144711e-04	1.016024396623e+03	5.079157237770e-04
9.900000000000e-01	5.265893837805e-04	1.049162687024e+03	5.244756571823e-04
1.000000000000e+00	5.434832657500e-04	1.082574429102e+03	5.411716329089e-04
1.010000000000e+00	5.522710920768e-04	1.099948157475e+03	5.498531832984e-04
1.020000000000e+00	5.504431171527e-04	1.096292207626e+03	5.480252083743e-04
1.030000000000e+00	5.419607117306e-04	1.079327396782e+03	5.395428029521e-04
1.040000000000e+00	5.355280395957e-04	1.066462052512e+03	5.331101308172e-04
1.050000000000e+00	5.395337933377e-04	1.074385746941e+03	5.370696671616e-04
1.060000000000e+00	5.516740114371e-04	1.098388029203e+03	5.490634884521e-04
1.070000000000e+00	5.610586618472e-04	1.116934991171e+03	5.583311184137e-04
1.080000000000e+00	5.594324751784e-04	1.113682617833e+03	5.567049317450e-04
1.090000000000e+00	5.470613410696e-04	1.088940349616e+03	5.443337976361e-04
1.100000000000e+00	5.310850512691e-04	1.056987770015e+03	5.283575078356e-04
1.110000000000e+00	5.168547735741e-04	1.028527214625e+03	5.141272301406e-04
1.120000000000e+00	5.024073582859e-04	9.996323840482e+02	4.996798148524e-04
1.130000000000e+00	4.871747098164e-04	9.691670871091e+02	4.844471663829e-04
1.140000000000e+00	4.774938900606e-04	9.498054475975e+02	4.747663466271e-04
1.150000000000e+00	4.783124493938e-04	9.514284958669e+02	4.755775004882e-04
1.160000000000e+00	4.892897865834e-04	9.731857513686e+02	4.864509330054e-04
1.170000000000e+00	5.038044276431e-04	1.001938350068e+03	5.008199512122e-04
1.180000000000e+00	5.129962498710e-04	1.020140353984e+03	5.099161731563e-04
1.190000000000e+00	5.180098348456e-04	1.030066513026e+03	5.148765944955e-04
1.200000000000e+00	5.248359307479e-04	1.043577545878e+03	5.216283962120e-04
1.210000000000e+00	5.336772343835e-04	1.061071141679e+03	5.303702201265e-04
1.220000000000e+00	5.425356536596e-04	1.078592298711e+03	5.391256491292e-04
1.230000000000e+00	5.495769909604e-04	1.092515390525e+03	5.460829954891e-04
1.240000000000e+00	5.527446967660e-04	1.098778184981e+03	5.492124817393e-04
1.250000000000e+00	5.499621077831e-04	1.093213007016e+03	5.464298927564e-04
1.260000000000e+00	5.404727819820e-04	1.074234355413e+03	5.369405669553e-04
1.270000000000e+00	5.280365221776e-04	1.049361835805e+03	5.245043071510e-04
1.280000000000e+00	5.199824291873e-04	1.033253649824e+03	5.164502141607e-04
1.290000000000e+00	5.191431824231e-04	1.031575156296e+03	5.156109673964e-04
1.300000000000e+00	5.190776302806e-04	1.031444052011e+03	5.155454152540e-04
1.310000000000e+00	5.121517798476e-04	1.017592351145e+03	5.086195648210e-04
1.320000000000e+00	4.965596747318e-04	9.864081409131e+02	4.930274597052e-04
1.330000000000e+00	4.757383898273e-04	9.447655711040e+02	4.722061748007e-04
1.340000000000e+00	4.567892015858e-04	9.068671946211e+02	4.532569865592e-04
1.350000000000e+00	4.437888803984e-04	8.808665522462e+02	4.402566653718e-04
1.360000000000e+00	4.336115135237e-04	8.605118184968e+02	4.300792984971e-04
1.370000000000e+00	4.220430935797e-04	8.373749786088e+02	4.185108785531e-04
1.380000000000e+00	4.078016338054e-04	8.088920590601e+02	4.042694187787e-04
1.390000000000e+00	3.906566236286e-04	7.746020387067e+02	3.871244086020e-04
1.400000000000e+00	3.682494800726e-04	7.297877515946e+02	3.647172650460e-04
1.410000000000e+00	3.383607777977e-04	6.700103470449e+02	3.348285627711e-04
1.420000000000e+00	3.057874588456e-04	6.048637091405e+02	3.022552438189e-04
1.430000000000e+00	2.811387273519e-04	5.555662461531e+02	2.776065123252e-04
1.440000000000e+00	2.711173170782e-04	5.355234256059e+02	2.675851020516e-04
1.450000000000e+00	2.718604357280e-04	5.370055966232e+02	2.683260805528e-04
1.460000000000e+00	2.747650354572e-04	5.427985574234e+02	2.712221336198e-04
